project_id,label_id,label_name,label_color,label_type
299663,5726523,Fruit_spikelets,#3d3df5,any
299663,5726524,Weed_broadleafed,#32b7fa,any
299663,5726525,Weed_narrowleafed,#aaf0d1,any
299663,5728106,stem,#ff6a4d,any
305167,5832896,leaf,#ff007c,any
305167,5832897,Stem,#33ddff,any
305167,5832898,Fruit-tubers,#b83df5,any
305167,5832899,Flower_open,#fafa37,any
305167,5832900,Flower_bud,#66ff66,any
305167,5832901,Weed_broadleafed,#ff6a4d,any
305167,5832902,Weed_narrowleafed,#b25050,any
305167,5835453,discard,#b1b1bd,any
281426,5844859,Fruit_pod,#fafa37,any
281426,5844868,Flower_bud,#524b4b,any
281442,5937310,Fruit/Pod,#ddff33,any
281442,5937319,Flower,#472ad8,any
281442,5937320,Flower_bud,#0d9fe9,any
281442,5949042,Discard,#101011,any
311417,5951089,z,#0b3593,any
281455,5967069,pod/fruit,#fafa37,any
281455,5967323,Discard,#2e2e30,any
281455,5967747,Flower,#0ccbf1,any
281455,5967748,Flower_bud,#40025d,any
281463,5976843,Flower,#10a3ee,any
281463,5976844,Fruit/Pod,#b9db0b,any
281463,5976845,Discard,#57575d,any
281463,5976846,flower_bud,#0f0fa9,points
