project_id,project_name,label_id,label_name,annotation_count
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373120,Flower_panicle,17103
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373119,stem,28386
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373118,leaf,52222
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373138,Weed_broadleafed,8386
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373139,Weed_narrowleafed,1785
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373140,discard,11
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368241,Weed_narrowleafed,3559
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368240,Weed_broadleafed,2499
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368237,Plant_maize,101
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368239,Stem_tiller,1
280639,ImageSafari_Maize_PlantPart_Segmentation,5364843,Weed_broadleafed,1883
280639,ImageSafari_Maize_PlantPart_Segmentation,5364840,Flower_tassel,4864
280639,ImageSafari_Maize_PlantPart_Segmentation,5364837,leaf,70836
280639,ImageSafari_Maize_PlantPart_Segmentation,5364838,stem,11967
280639,ImageSafari_Maize_PlantPart_Segmentation,5364841,Flower_silk,1397
280639,ImageSafari_Maize_PlantPart_Segmentation,5364839,Fruit_cob,2154
280639,ImageSafari_Maize_PlantPart_Segmentation,5364844,Weed_narrowleafed,839
280639,ImageSafari_Maize_PlantPart_Segmentation,5628236,discard,1
278471,Cvat testing,5354536,soil,1
278471,Cvat testing,5324500,Weed_broadleafed,2
278471,Cvat testing,5324495,Plant_maize,1
272718,ImageSafari_Maize,5256593,Weed_broadleafed,2430
272718,ImageSafari_Maize,5256599,Plant_maize,379
272718,ImageSafari_Maize,5256600,Stem_main,82
272718,ImageSafari_Maize,5256601,Stem_tiller,73
272718,ImageSafari_Maize,5256594,Weed_narrowleafed,2196
272718,ImageSafari_Maize,5255173,leaf,139772
272718,ImageSafari_Maize,5259837,discard,19
272718,ImageSafari_Maize,5256591,Flower_tassel,3959
272718,ImageSafari_Maize,5259832,stem,12541
272718,ImageSafari_Maize,5255176,Fruit_cob,1179
272718,ImageSafari_Maize,5256592,Flower_silk,696
263773,Image_Safari_Sorghum,5160836,Discard,63
263773,Image_Safari_Sorghum,5182855,Fruit_grain,101655
263773,Image_Safari_Sorghum,5182851,Flower_panicle,128
263773,Image_Safari_Sorghum,5017929,Plant_sorghum,1828
263773,Image_Safari_Sorghum,5017931,Weed_broadleafed,19810
263773,Image_Safari_Sorghum,5130048,Stem_main,34
263773,Image_Safari_Sorghum,5130050,Stem_Tiller,53
263773,Image_Safari_Sorghum,5017942,Weed_narrowleafed,4939
252495,ImageSafari Pre-annotation experiment,4797689,leaf,108
252495,ImageSafari Pre-annotation experiment,4797690,stem,17
252495,ImageSafari Pre-annotation experiment,4797693,weed,2
232685,Artemis - Climbing beans,4374017,beanplant,16937
223989,Image Safari: Common bean disease identification test,4239966,BCMV,21
223989,Image Safari: Common bean disease identification test,4239964,ALS,988
223989,Image Safari: Common bean disease identification test,4239965,ANT,171
223989,Image Safari: Common bean disease identification test,4239963,CBBB,183
223989,Image Safari: Common bean disease identification test,4239967,Rust,16
218385,Image Safari: single-pass annotation,4135930,leaf,305613
218385,Image Safari: single-pass annotation,4135933,fruit/pod,42570
218385,Image Safari: single-pass annotation,4135931,stem,112650
218385,Image Safari: single-pass annotation,4135934,weed,80469
218385,Image Safari: single-pass annotation,4135935,flower bud,3633
218385,Image Safari: single-pass annotation,4135932,flower,1606
218385,Image Safari: single-pass annotation,4294670,DISCARD IMAGE,1
216409,Image Safari: 2-pass annotation stage 2 - only crops,4104922,leaf,72357
216409,Image Safari: 2-pass annotation stage 2 - only crops,4104926,flower bud,626
216409,Image Safari: 2-pass annotation stage 2 - only crops,4104923,stem,17428
216409,Image Safari: 2-pass annotation stage 2 - only crops,4104924,flower,1358
216409,Image Safari: 2-pass annotation stage 2 - only crops,4104925,fruit,82
214886,Image Safari: 2-pass annotation stage 2 - only weeds,4077715,weed,6641
205789,Image Safari: 2-pass annotation stage 2,3858430,stem,11369
205789,Image Safari: 2-pass annotation stage 2,3858432,fruit,481
205789,Image Safari: 2-pass annotation stage 2,3858429,leaf,22569
205789,Image Safari: 2-pass annotation stage 2,3858431,flower,857
205789,Image Safari: 2-pass annotation stage 2,3860137,flower bud,2428
