project_id,project_name,label_id,label_name,shape_type,annotation_count
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5937320,Flower_bud,points,1848
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5937310,Fruit/Pod,points,81959
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5949042,Discard,points,26
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375085,leaf,rectangle,1
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375085,leaf,polygon,3990
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375086,stem,polygon,5216
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375087,Weed_broadleafed,polygon,9136
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375088,Weed_narrowleafed,polygon,796
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375085,leaf,mask,18993
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375087,Weed_broadleafed,mask,4527
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375086,stem,mask,1957
281442,ImageSafari_SoyBeans_PlantPart_Segmentation,5375088,Weed_narrowleafed,mask,435
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374588,leaf,points,986290
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374612,Weed_broadleafed,points,12433
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374610,flower_open,points,3486
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374591,stem,points,9822
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5844868,Flower_bud,points,1730
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374613,Weed_narrowleafed,points,1035
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5844859,Fruit_pod,points,540
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374614,discard,points,3
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374588,leaf,rectangle,1
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374591,stem,polygon,12548
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374588,leaf,polygon,1668
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374612,Weed_broadleafed,polygon,3181
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374613,Weed_narrowleafed,polygon,223
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374610,flower_open,polygon,404
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374588,leaf,mask,67850
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374612,Weed_broadleafed,mask,1311
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374613,Weed_narrowleafed,mask,146
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374591,stem,mask,3693
281426,ImageSafari_GroundNuts_PlantPart_Segmentation,5374610,flower_open,mask,291
281422,ImageSafari_Cowpea_PlantPart_Segmentation,5374557,leaf,points,257492
